## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
htmlInitAutoClose,function,HTMLparser.c:1245,,,
htmlParseCharRef,function,HTMLparser.c:3414,,,htmlParserCtxt
htmlFreeParserCtxt,function,HTMLparser.c:4600,,,htmlParserCtxt;XMLPUBFUN
htmlNewSAXParserCtxt,function,HTMLparser.c:4641,,,xmlParserCtxtPtr;htmlSAXHandler;htmlParserCtxt
htmlParseChunk,function,HTMLparser.c:5177,,,htmlParserCtxt;XMLPUBFUN;xmlParserErrors
htmlCreatePushParserCtxt,function,HTMLparser.c:5239,,,htmlParserCtxt;htmlSAXHandler;xmlCharEncoding;htmlParserInputPtr;htmlParserCtxtPtr
htmlCreateFileParserCtxt,function,HTMLparser.c:5343,,,htmlParserCtxt;htmlParserInputPtr;htmlParserCtxtPtr
htmlHandleOmittedElem,function,HTMLparser.c:5436,,,
htmlCtxtReset,function,HTMLparser.c:5522,,,htmlParserCtxt;XMLPUBFUN
htmlCtxtSetOptions,function,HTMLparser.c:5593,,,htmlParserCtxt;XMLPUBFUN
htmlCtxtUseOptions,function,HTMLparser.c:5619,,,htmlParserCtxt;XMLPUBFUN
htmlElemDesc,struct,include/libxml/HTMLparser.h:60,,,XML_DEPRECATED_MEMBER
htmlEntityDesc,struct,include/libxml/HTMLparser.h:85,,,
xmlSAX2GetLineNumber,function,SAX2.c:164,,,xmlParserCtxtPtr;XMLPUBFUN
xmlSAX2GetColumnNumber,function,SAX2.c:178,,,xmlParserCtxtPtr;XMLPUBFUN
xmlSAX2IsStandalone,function,SAX2.c:192,,,xmlParserCtxtPtr;XMLPUBFUN
xmlSAX2HasInternalSubset,function,SAX2.c:206,,,xmlParserCtxtPtr;XMLPUBFUN
xmlSAX2HasExternalSubset,function,SAX2.c:220,,,xmlParserCtxtPtr;XMLPUBFUN
xmlSAXDefaultVersion,function,SAX2.c:2671,,,
xmlDefaultSAXHandlerInit,function,SAX2.c:2762,,,
htmlDefaultSAXHandlerInit,function,SAX2.c:2815,,,
